日期,白天天气,夜间天气,最高温度,最低温度,白天风力,夜间风力
2025-01-01,晴,晴,4,-3,东北风 3-4级,东北风 3-4级
2025-01-02,晴,晴,0,-3,北风 4-5级,西北风 4-5级
2025-01-03,晴,晴,2,-3,西北风 3-4级,西南风 3-4级
2025-01-04,晴,多云,6,0,西南风 4-5级,西南风 4-5级
2025-01-05,多云,晴,5,-5,西北风 4-5级,北风 4-5级
2025-01-06,晴,晴,-1,-5,西北风 4-5级,西北风 4-5级
2025-01-07,多云,多云,0,-7,西北风 4-5级,北风 4-5级
2025-01-08,多云,多云,-5,-10,北风 4-5级,北风 4-5级
2025-01-09,多云,晴,-5,-11,北风 4-5级,北风 4-5级
2025-01-10,晴,晴,-4,-7,北风 4-5级,北风 3-4级
2025-01-11,多云,多云,1,-6,北风 3-4级,北风 3-4级
2025-01-12,晴,多云,1,-5,西风 3-4级,西风 3-4级
2025-01-13,晴,晴,4,-4,西南风 3-4级,北风 3-4级
2025-01-14,多云,晴,0,-6,北风 4-5级,北风 4-5级
2025-01-15,晴,晴,2,-6,北风 4-5级,西风 4-5级
2025-01-16,晴,晴,4,-2,北风 4-5级,北风 3-4级
2025-01-17,晴,晴,7,1,西南风 4-5级,西南风 3-4级
2025-01-18,晴,晴,7,-1,西南风 4-5级,北风 3-4级
2025-01-19,晴,晴,5,-1,北风 3-4级,北风 3-4级
2025-01-20,晴,晴,7,0,西北风 3-4级,西南风 3-4级
2025-01-21,晴,晴,5,-2,北风 3-4级,北风 3-4级
2025-01-22,晴,晴,4,-2,北风 1-3级,东北风 3-4级
2025-01-23,晴,晴,5,0,东南风 3-4级,东南风 3-4级
2025-01-24,晴,晴,6,-2,北风 3-4级,北风 3-4级
2025-01-25,晴,多云,4,-1,北风 3-4级,北风 3-4级
2025-01-26,小雪,中到大雪,3,-5,南风 3-4级,北风 5-6级
2025-01-27,小雪,阴,-5,-7,西北风 5-6级,西北风 4-5级
2025-01-28,多云,晴,-6,-9,西北风 4-5级,西北风 4-5级
2025-01-29,晴,晴,-5,-9,西北风 3-4级,东北风 3-4级
2025-01-30,小雪,小雪,-4,-8,东北风 3-4级,东北风 3-4级
2025-01-31,阴,晴,-2,-9,东北风 3-4级,东北风 3-4级
2025-02-01,晴,多云,-2,-8,北风 3-4级,北风 3-4级
2025-02-02,雨夹雪,多云,0,-8,北风 4-5级,北风 4-5级
2025-02-03,多云,多云,-6,-10,北风 4-5级,北风 3-4级
2025-02-04,多云,多云,-6,-11,北风 4-5级,北风 4-5级
2025-02-05,多云,多云,-1,-9,西北风 4-5级,西风 4-5级
2025-02-06,小雪,小雪,0,-11,西北风 4-5级,西北风 5-6级
2025-02-07,阵雪,多云,-6,-11,西北风 5-6级,西北风 4-5级
2025-02-08,晴,晴,-5,-8,西北风 4-5级,西北风 3-4级
2025-02-09,晴,晴,0,-7,西北风 3-4级,西北风 3-4级
2025-02-10,晴,晴,5,-2,西南风 4-5级,西南风 4-5级
2025-02-11,多云,雨夹雪,7,-2,南风 4-5级,北风 4-5级
2025-02-12,多云,晴,1,-3,北风 4-5级,西南风 3-4级
2025-02-13,晴,晴,7,2,西南风 4-5级,西风 3-4级
2025-02-14,晴,多云,9,3,西南风 3-4级,西南风 3-4级
2025-02-15,晴,晴,10,-2,西南风 3-4级,北风 4-5级
2025-02-16,晴,晴,3,-3,北风 4-5级,北风 4-5级
2025-02-17,晴,晴,1,-4,北风 4-5级,西北风 3-4级
2025-02-18,晴,晴,1,-4,西北风 3-4级,西北风 3-4级
2025-02-19,晴,晴,0,-5,西北风 4-5级,西北风 3-4级
2025-02-20,晴,晴,0,-5,西北风 4-5级,西北风 3-4级
2025-02-21,晴,晴,-1,-6,西北风 3-4级,西北风 3-4级
2025-02-22,晴,多云,-1,-6,西北风 4-5级,西北风 4-5级
2025-02-23,晴,晴,0,-5,西北风 4-5级,西风 3-4级
2025-02-24,晴,晴,7,0,西南风 4-5级,西南风 4-5级
2025-02-25,多云,晴,7,0,西南风 4-5级,北风 3-4级
2025-02-26,晴,晴,10,2,西南风 4-5级,西南风 3-4级
2025-02-27,多云,晴,12,5,南风 4-5级,南风 4-5级
2025-02-28,晴,多云,13,5,南风 3-4级,东南风 3-4级
2025-03-01,阴,阴,8,0,东南风 4-5级,北风 4-5级
2025-03-02,多云,多云,5,0,东北风 5-6级,东北风 4-5级
2025-03-03,多云,多云,4,0,东北风 4-5级,东北风 3-4级
2025-03-04,多云,多云,3,0,东风 3-4级,北风 3-4级
2025-03-05,晴,晴,7,0,北风 3-4级,北风 3-4级
2025-03-06,晴,多云,5,0,西北风 4-5级,西北风 3-4级
2025-03-07,多云,小雨,7,3,南风 3-4级,南风 3-4级
2025-03-08,阴,晴,9,2,南风 3-4级,南风 3-4级
2025-03-09,晴,晴,10,2,南风 3-4级,南风 4-5级
2025-03-10,晴,多云,11,5,南风 4-5级,东南风 3-4级
2025-03-11,多云,多云,12,6,南风 4-5级,西北风 4-5级
2025-03-12,晴,晴,15,5,西北风 4-5级,西北风 3-4级
2025-03-13,晴,晴,11,5,东风 3-4级,东北风 3-4级
2025-03-14,晴,晴,11,4,东北风 3-4级,东北风 3-4级
2025-03-15,多云,多云,10,1,北风 4-5级,北风 4-5级
2025-03-16,晴,多云,4,0,西北风 4-5级,西南风 3-4级
2025-03-17,雨夹雪,阴,5,-1,北风 4-5级,北风 4-5级
2025-03-18,晴,晴,6,1,北风 4-5级,西南风 3-4级
2025-03-19,晴,晴,12,4,西南风 3-4级,西南风 3-4级
2025-03-20,晴,晴,16,8,西风 4-5级,西风 3-4级
2025-03-21,晴,晴,21,15,西风 4-5级,西风 4-5级
2025-03-22,晴,晴,24,13,西风 4-5级,西南风 3-4级
2025-03-23,多云,多云,23,9,西南风 4-5级,北风 4-5级
2025-03-24,多云,多云,15,8,北风 4-5级,南风 3-4级
2025-03-25,晴,多云,17,5,北风 5-6级,东北风 4-5级
2025-03-26,多云,多云,12,4,东南风 4-5级,西北风 4-5级
2025-03-27,多云,晴,8,2,西北风 4-5级,北风 4-5级
2025-03-28,多云,多云,8,0,北风 3-4级,北风 4-5级
2025-03-29,晴,晴,7,2,西风 3-4级,南风 3-4级
2025-03-30,晴,晴,8,3,南风 3-4级,西南风 3-4级
2025-03-31,晴,晴,15,8,西南风 4-5级,西南风 4-5级
2025-04-01,多云,阴,15,7,西南风 4-5级,西北风 3-4级
2025-04-02,多云,晴,12,4,西北风 4-5级,西南风 3-4级
2025-04-03,晴,多云,14,8,南风 4-5级,南风 4-5级
2025-04-04,小雨,多云,14,7,南风 4-5级,西北风 4-5级
2025-04-05,晴,晴,15,7,西北风 4-5级,西北风 3-4级
2025-04-06,晴,晴,18,8,东南风 3-4级,东南风 3-4级
2025-04-07,晴,晴,18,7,北风 3-4级,北风 3-4级
2025-04-08,晴,阴,18,7,西北风 4-5级,南风 3-4级
2025-04-09,阵雨,晴,12,6,南风 3-4级,东南风 3-4级
2025-04-10,晴,晴,17,10,南风 3-4级,南风 3-4级
2025-04-11,多云,小到中雨,16,9,南风 4-5级,南风 4-5级
2025-04-12,阴,多云,13,5,西南风 4-5级,西北风 5-6级
2025-04-13,多云,小雨,9,5,西北风 4-5级,西北风 5-6级
2025-04-14,多云,晴,12,6,西北风 3-4级,西北风 3-4级
2025-04-15,晴,晴,17,9,西南风 3-4级,东南风 3-4级
2025-04-16,多云,多云,14,8,东风 4-5级,东风 3-4级
2025-04-17,多云,多云,16,10,东北风 4-5级,北风 4-5级
2025-04-18,阴,小到中雨,16,8,北风 1-3级,北风 3-4级
2025-04-19,晴,晴,16,8,西风 3-4级,东南风 3-4级
2025-04-20,晴,晴,17,9,南风 3-4级,东南风 3-4级
2025-04-21,多云,小雨,16,11,南风 4-5级,北风 4-5级
2025-04-22,晴,晴,19,10,北风 4-5级,西北风 3-4级
2025-04-23,晴,晴,20,11,西南风 4-5级,北风 4-5级
2025-04-24,晴,晴,17,9,西风 4-5级,西风 3-4级
2025-04-25,晴,晴,19,11,西南风 3-4级,南风 3-4级
2025-04-26,多云,雷阵雨,22,11,西南风 4-5级,北风 4-5级
2025-04-27,阵雨,晴,16,8,北风 4-5级,西北风 3-4级
2025-04-28,晴,晴,19,10,北风 4-5级,南风 3-4级
2025-04-29,晴,多云,22,14,南风 4-5级,南风 3-4级
2025-04-30,阴,雷阵雨,22,11,南风 3-4级,西北风 4-5级
2025-05-01,晴,多云,18,10,西北风 4-5级,西风 3-4级
2025-05-02,阵雨,多云,16,10,西南风 3-4级,西北风 3-4级
2025-05-03,晴,晴,18,11,西北风 4-5级,西风 3-4级
2025-05-04,晴,多云,20,12,西风 4-5级,南风 3-4级
2025-05-05,多云,雷阵雨,17,10,东南风 4-5级,北风 3-4级
2025-05-06,多云,晴,17,10,北风 3-4级,西南风 3-4级
2025-05-07,晴,多云,17,11,南风 3-4级,南风 3-4级
2025-05-08,多云,多云,17,12,南风 4-5级,东南风 3-4级
2025-05-09,小雨,中雨,15,11,东北风 3-4级,西北风 4-5级
2025-05-10,多云,晴,19,12,西北风 4-5级,西风 4-5级
2025-05-11,晴,晴,22,14,南风 4-5级,南风 4-5级
2025-05-12,晴,晴,21,16,东南风 4-5级,东南风 4-5级
2025-05-13,晴,晴,24,15,南风 4-5级,南风 3-4级
2025-05-14,阴,多云,22,12,北风 4-5级,北风 3-4级
2025-05-15,晴,晴,22,12,西南风 3-4级,南风 3-4级
2025-05-16,多云,雷阵雨,16,11,东南风 4-5级,南风 4-5级
2025-05-17,多云,晴,19,12,西北风 4-5级,西南风 3-4级
2025-05-18,多云,阵雨,21,14,南风 4-5级,南风 4-5级
2025-05-19,多云,晴,23,14,南风 3-4级,东风 3-4级
2025-05-20,多云,多云,20,14,东风 4-5级,东北风 3-4级
2025-05-21,晴,晴,23,16,东北风 4-5级,东北风 4-5级
2025-05-22,多云,小雨,25,15,北风 4-5级,北风 4-5级
2025-05-23,多云,晴,21,13,东北风 3-4级,东北风 3-4级
2025-05-24,晴,晴,23,16,西南风 3-4级,西南风 3-4级
2025-05-25,晴,晴,24,15,北风 3-4级,南风 1-3级
2025-05-26,晴,多云,23,16,南风 3-4级,东南风 3-4级
2025-05-27,阵雨,阵雨,20,14,东南风 4-5级,东南风 4-5级
2025-05-28,多云,多云,23,15,东南风 4-5级,东南风 3-4级
2025-05-29,晴,晴,23,16,东南风 3-4级,东南风 3-4级
2025-05-30,晴,多云,24,17,东南风 3-4级,东南风 3-4级
2025-05-31,多云,阴,23,16,东南风 3-4级,东南风 3-4级
2025-06-01,晴,多云,24,17,南风 3-4级,南风 3-4级
2025-06-02,多云,多云,24,18,南风 4-5级,西北风 3-4级
2025-06-03,晴,晴,26,18,西风 4-5级,西北风 4-5级
2025-06-04,晴,晴,27,18,西北风 4-5级,西南风 4-5级
2025-06-05,晴,多云,28,20,西南风 4-5级,东北风 4-5级
2025-06-06,多云,多云,28,18,东风 3-4级,东北风 4-5级
2025-06-07,晴,晴,26,16,东北风 4-5级,南风 3-4级
2025-06-08,晴,多云,26,16,南风 3-4级,南风 3-4级
2025-06-09,中雨,阴,22,16,南风 4-5级,北风 3-4级
2025-06-10,晴,晴,26,18,西北风 4-5级,西南风 3-4级
2025-06-11,晴,晴,29,20,西南风 4-5级,西南风 3-4级
2025-06-12,晴,晴,28,18,南风 4-5级,南风 4-5级
2025-06-13,多云,多云,25,19,东南风 4-5级,东风 3-4级
2025-06-14,阵雨,中雨,24,18,东风 3-4级,东南风 4-5级
2025-06-15,小到中雨,多云,25,19,南风 4-5级,南风 3-4级
2025-06-16,阵雨,晴,25,17,南风 4-5级,西风 3-4级
2025-06-17,晴,多云,28,20,西南风 3-4级,东南风 3-4级
2025-06-18,多云,雷阵雨,28,22,东南风 4-5级,南风 4-5级
2025-06-19,多云,中雨,25,20,东南风 4-5级,东风 3-4级
2025-06-20,多云,晴,27,20,北风 4-5级,西北风 3-4级
2025-06-21,晴,晴,28,21,西风 3-4级,西风 3-4级
2025-06-22,晴,晴,31,21,西风 3-4级,南风 1-3级
2025-06-23,晴,晴,30,21,南风 3-4级,东南风 3-4级
2025-06-24,晴,晴,28,22,东南风 3-4级,北风 1-3级
2025-06-25,晴,多云,29,22,南风 3-4级,南风 3-4级
2025-06-26,多云,阵雨,29,22,南风 3-4级,南风 3-4级
2025-06-27,阵雨,阵雨,25,20,东南风 3-4级,东风 3-4级
2025-06-28,阴,阴,25,22,西南风 3-4级,南风 3-4级
2025-06-29,小雨,中雨,26,22,东南风 3-4级,南风 4-5级
2025-06-30,小到中雨,多云,25,22,南风 4-5级,南风 4-5级
